Constituency_No,Constituency_Name,Constituency_Type,Total_Electors,Candidate_S_No,Candidate_Name,Gender,Age,Category,Party,Symbol,General_Votes,Postal_Votes,Total_Votes,Percentage_of_Valid_Votes,Percentage_of_Total_Electors,Turnout_General,Turnout_Postal,Turnout_Total,Turnout_Percentage
12,MANGOL PURI,SC,190095,6,JAI BHAGWAN,MALE,62,SC,IND,Battery Torch,250,0,250,0.2,0.13,123127,323,123450,64.94
12,MANGOL PURI,SC,190095,7,KHILKHILAKAR,MALE,28,SC,BSSSSP,Water tank,171,0,171,0.14,0.09,123127,323,123450,64.94
13,ROHINI,GENERAL,173272,1,VIJENDER GUPTA,MALE,61,GENERAL,BJP,Lotus,69890,475,70365,65.01,40.61,107597,636,108233,62.46
13,ROHINI,GENERAL,173272,2,PARDEEP MITTAL,MALE,47,GENERAL,AAAP,Broom,32442,107,32549,30.07,18.78,107597,636,108233,62.46
13,ROHINI,GENERAL,173272,3,SUMESH GUPTA,MALE,53,GENERAL,INC,Hand,3721,44,3765,3.48,2.17,107597,636,108233,62.46
13,ROHINI,GENERAL,173272,4,NOTA,,,NOTA,NOTA,1027,4,1031,0.95,0.6,107597,636,108233,62.46
13,ROHINI,GENERAL,173272,5,HARSHAD CHADHA,MALE,25,GENERAL,BSP,Elephant,194,3,197,0.18,0.11,107597,636,108233,62.46
13,ROHINI,GENERAL,173272,6,ABHISHEK,MALE,29,SC,JMBP,Flute,118,0,118,0.11,0.07,107597,636,108233,62.46
13,ROHINI,GENERAL,173272,7,AMIT SAINI,MALE,27,GENERAL,JNSMHP,Bucket,91,1,92,0.09,0.05,107597,636,108233,62.46
13,ROHINI,GENERAL,173272,8,RAJBIR,MALE,68,SC,IND,Nagrik,62,0,62,0.06,0.04,107597,636,108233,62.46
13,ROHINI,GENERAL,173272,9,NARENDER SINGH PANWAR,MALE,29,GENERAL,IND,Dumbbells,52,2,54,0.05,0.03,107597,636,108233,62.46
14,SHALIMAR BAGH,GENERAL,194398,1,REKHA GUPTA,FEMALE,50,GENERAL,BJP,Lotus,67839,361,68200,59.95,35.08,113233,531,113764,58.52
14,SHALIMAR BAGH,GENERAL,194398,2,BANDANA KUMARI,FEMALE,50,GENERAL,AAAP,Broom,38487,118,38605,33.93,19.86,113233,531,113764,58.52
14,SHALIMAR BAGH,GENERAL,194398,3,PARVEEN KUMAR JAIN,MALE,63,GENERAL,INC,Hand,4845,47,4892,4.3,2.52,113233,531,113764,58.52
14,SHALIMAR BAGH,GENERAL,194398,4,NOTA,,,NOTA,NOTA,768,2,770,0.68,0.4,113233,531,113764,58.52
14,SHALIMAR BAGH,GENERAL,194398,5,SHYAM KUMAR,MALE,52,GENERAL,BSP,Elephant,410,1,411,0.36,0.21,113233,531,113764,58.52
14,SHALIMAR BAGH,GENERAL,194398,6,SAURABH GUPTA,MALE,36,GENERAL,IND,Stumps,356,2,358,0.31,0.18,113233,531,113764,58.52
14,SHALIMAR BAGH,GENERAL,194398,7,RINA DEVI,FEMALE,37,GENERAL,IND,Razor,252,0,252,0.22,0.13,113233,531,113764,58.52
14,SHALIMAR BAGH,GENERAL,194398,8,RAJESH KUMAR,MALE,52,GENERAL,IND,Sitar,143,0,143,0.13,0.07,113233,531,113764,58.52
14,SHALIMAR BAGH,GENERAL,194398,9,MOHD. USMAN,MALE,62,GENERAL,IND,Battery Torch,98,0,98,0.09,0.05,113233,531,113764,58.52
14,SHALIMAR BAGH,GENERAL,194398,10,RANJEET VERMA,MALE,42,GENERAL,NIUP,Water tank,35,0,35,0.03,0.02,113233,531,113764,58.52
15,SHAKUR BASTI,GENERAL,157011,1,KARNAIL SINGH,MALE,57,GENERAL,BJP,Lotus,56570,299,56869,57.07,36.22,99207,445,99652,63.47
15,SHAKUR BASTI,GENERAL,157011,2,SATYENDAR JAIN,MALE,60,GENERAL,AAAP,Broom,35775,96,35871,36,22.85,99207,445,99652,63.47
15,SHAKUR BASTI,GENERAL,157011,3,SATISH KUMAR LUTHRA,MALE,61,GENERAL,INC,Hand,5736,48,5784,5.8,3.68,99207,445,99652,63.47
15,SHAKUR BASTI,GENERAL,157011,4,NOTA,,,NOTA,NOTA,672,1,673,0.68,0.43,99207,445,99652,63.47
15,SHAKUR BASTI,GENERAL,157011,5,VIJAY KUMAR,MALE,31,GENERAL,BSP,Elephant,164,0,164,0.16,0.1,99207,445,99652,63.47
15,SHAKUR BASTI,GENERAL,157011,6,TAMANA,FEMALE,34,GENERAL,YBRP,Bat,115,0,115,0.12,0.07,99207,445,99652,63.47
15,SHAKUR BASTI,GENERAL,157011,7,RAJESH GUPTA,MALE,66,GENERAL,BLokSP,Electric pole,99,1,100,0.1,0.06,99207,445,99652,63.47
15,SHAKUR BASTI,GENERAL,157011,8,JUGAL CHAWLA,MALE,52,GENERAL,IND,Telephone,76,0,76,0.08,0.05,99207,445,99652,63.47
